assignee,video_path,video_key,class_name,start_frame,end_frame,fps,frame_count,frames_dir,notes
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g06_c06.avi,JumpingJack__v_JumpingJack_g06_c06,jumping_jack,,,29.97002997002997,72,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g06_c06,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g06_c07.avi,JumpingJack__v_JumpingJack_g06_c07,jumping_jack,,,29.97002997002997,66,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g06_c07,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c01.avi,JumpingJack__v_JumpingJack_g07_c01,jumping_jack,,,29.97002997002997,88,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g07_c01,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c02.avi,JumpingJack__v_JumpingJack_g07_c02,jumping_jack,,,29.97002997002997,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g07_c02,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c03.avi,JumpingJack__v_JumpingJack_g07_c03,jumping_jack,,,29.97002997002997,84,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g07_c03,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c04.avi,JumpingJack__v_JumpingJack_g07_c04,jumping_jack,,,29.97002997002997,87,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g07_c04,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g07_c05.avi,JumpingJack__v_JumpingJack_g07_c05,jumping_jack,,,29.97002997002997,88,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g07_c05,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g08_c01.avi,JumpingJack__v_JumpingJack_g08_c01,jumping_jack,,,29.97002997002997,80,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g08_c01,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g08_c02.avi,JumpingJack__v_JumpingJack_g08_c02,jumping_jack,,,29.97002997002997,83,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g08_c02,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g08_c03.avi,JumpingJack__v_JumpingJack_g08_c03,jumping_jack,,,29.97002997002997,81,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g08_c03,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g08_c04.avi,JumpingJack__v_JumpingJack_g08_c04,jumping_jack,,,29.97002997002997,80,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g08_c04,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g09_c01.avi,JumpingJack__v_JumpingJack_g09_c01,jumping_jack,,,29.97002997002997,93,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g09_c01,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g09_c02.avi,JumpingJack__v_JumpingJack_g09_c02,jumping_jack,,,29.97002997002997,92,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g09_c02,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g09_c03.avi,JumpingJack__v_JumpingJack_g09_c03,jumping_jack,,,29.97002997002997,89,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g09_c03,
lrx,/data1/shiyuqi/UCF/JumpingJack/v_JumpingJack_g09_c04.avi,JumpingJack__v_JumpingJack_g09_c04,jumping_jack,,,29.97002997002997,89,/home/shiyuqi/posedetect/outputs/ucf_frame_labeling/frames/JumpingJack__v_JumpingJack_g09_c04,
